id,section,title,author,volumes,publisher,imprint,year,edition,pages,format,illustrator,editor,isbn,about,note,cover_url
14,Card magic and theory,Jennings '67,Larry Jennings,,,,,,,,,,,,,
15,Card magic and theory,The Classic Magic of Larry Jennings,Larry Jennings,,,,,,,,,,,,,
16,Card magic and theory,Mr. Jennings Takes It Easy,Larry Jennings,,,,,,,,,,,,,
17,Card magic and theory,Steranko on Cards,Jim Steranko,,,,,,,,,,,,,
18,Card magic and theory,The Phantom of the Card Table,Critical Edition,,,,,,,,,,,"The Walter Irving Scott material, and one of the more contested episodes in the literature of card table work.",,
19,Card magic and theory,Cardivances,Alejandro Guillier,,,,,,,,,,,,,
20,Dai Vernon,The Card Magic of Dai Vernon,Dai Vernon,,,,,,,,,,,,,
21,Dai Vernon,The Dai Vernon Book of Magic,Lewis Ganson,,L & L Pub.,,1994,,,,,,9781079018325,"Ganson's record of Vernon's work, part of the long project of getting a famously reticent performer into print.",,
22,Dai Vernon,Inner Secrets of Card Magic,Dai Vernon,,,,,,,,,,,,,
23,Dai Vernon,The Vernon Touch,Dai Vernon,,,,,,,,,,,,,
24,Dai Vernon,Revelations,Dai Vernon,,Magical Publications,,1984,,,,,,9780915181124,,,https://covers.openlibrary.org/b/id/11285864-L.jpg
25,Dai Vernon,The Essential Dai Vernon,Dai Vernon,,,,,,,,,,,"Collects material including More Inner Secrets, Further Inner Secrets, Ultimate Secrets, Malini and His Magic, and Tribute to Nate Leipzig.",,
26,Dai Vernon,The Vernon Chronicles,Dai Vernon,Vols. 1-4,,,,,,,,,,,,
27,Ed Marlo,Revolutionary Card Technique,Ed Marlo,,"Magic, Inc.",,2003,,,,,,9780972926300,"Marlo's foundational technical work, issued in separate chapters over a period of years rather than as a single volume.",,https://covers.openlibrary.org/b/id/9057839-L.jpg
28,Ed Marlo,Riffle Shuffle Systems,Ed Marlo,,,,,,,,,,,,,
29,Ed Marlo,"Seconds, Centers and Bottoms",Ed Marlo,,,,,,,,,,,,,
30,Ed Marlo,Marlo in Spades,Ed Marlo,,,,,,,,,,,,,
31,Ed Marlo,Arcade Dreams,Ed Marlo,,Kaufman and Co.,,1997,,,,,,,,,
32,Ed Marlo,Marlo Magazine,Ed Marlo,bound volumes,,,,,,,,,,,,
33,Close-up,The Books of Wonder,Tommy Wonder / Stephen Minch,Vols. I-II,Hermetic Pr,,1996,,,,,,9780945296171,"Two volumes of routines and the reasoning behind them. Wonder wrote about why a construction works as carefully as he wrote about how, which is rarer than it should be.",,https://covers.openlibrary.org/b/id/4810981-L.jpg
34,Close-up,Art of Astonishment,Paul Harris,Books 1-3,,,,,,,,,,,,
35,Close-up,Routined Manipulation,Lewis Ganson,,,,,,,,,,,,,
36,Close-up,The Black & White Trick and Other Assorted Mysteries,Bruce Cervon / Mike Maxwell,,,,,,,,,,,,,
37,Close-up,Random Acts of Magic,Camirand Academy of Magic,,,,,,,,,,,,,
38,Theory and presentation,Magic and Meaning,Eugene Burger & Robert E. Neale,,,,,,,,,,,"Two performers arguing about what magic is actually doing when it works, and why the question matters to anyone who performs it.",,
39,Theory and presentation,The Experience of Magic,Eugene Burger,,,,,,,,,,,,,
40,Theory and presentation,Spirit Theater,Eugene Burger,,,,,,,,,,,,,
41,Theory and presentation,Magic by Misdirection,Dariel Fitzkee,,Magic Ltd,,1945,,,,,,0685368556,"One of the three Fitzkee books, and an early attempt to treat misdirection as a subject with structure rather than a knack.",,
42,Coin magic,Modern Coin Magic,J.B. Bobo,,New Dawn Press,,2004,,,,,,1845570693,"The standard coin reference, and the book nearly every coin worker starts from.",,https://covers.openlibrary.org/b/id/4866227-L.jpg
43,Coin magic,David Roth's Expert Coin Magic,Richard Kaufman,,,,,,,,,,,"Kaufman's record of Roth's work, which reset what close-up coin magic was understood to be capable of.",,
44,Coin magic,Rubinstein Coin Magic,Michael Rubinstein,,,,,,,,,,,,,
45,Coin magic,CoinMagic,Richard Kaufman,,Published by Richard Kaufman and Alan Greenberg,,1981,,,,,,,,,
46,Coin magic,Geoff Latta: The Long Goodbye,Stephen Minch & Stephen Hobbs,,,,,,,,,,,The posthumous record of a coin worker whose material circulated for decades largely by reputation.,,
47,Coin magic,Giacomo Bertini's System for Amazing Coin Magic,Stephen Minch,,,,,,,,,,,,,
48,Coin magic,T.U.C. Appreciation,Marcelo Insua,,,,,,,,,,,,,
49,Coin magic,Coin Magic,Jean Hugard,,"Skyhorse Publishing Company, Incorporated",,2016,,,,,,1944686363,,,
50,Coin magic,Coin and Money Magic,William G. Stickland,,,,,,,,,,,,,
51,Coin magic,La Magia de las Monedas,Joaquin Matas,,,,,,,,,,,,,
52,Coin magic,The Book of Secrets,John Carney,,CarneyMagic,,2002,,,,,,0970128703,,,
53,Coin magic,Coin Snatch / Thief of the Impossible,Paul Diamond,,,,,,,,,,,,,
54,Coin magic,Coin Classics,Chris Kenner,Volume 1,,,,,,,,,,,,
55,Coin magic,Confidences,,,,,,,,,,,,,,
56,Coin magic,Pockets Full of Miracles,,,Diamond Jim Productions,,2000,,,,,,9780967601861,,,https://covers.openlibrary.org/b/id/2706902-L.jpg
57,Coin magic,Coining Magic,,,,,,,,,,,,,,
58,Coin magic,The Manual of Coin Magic,,,,,,,,,,,,,,
59,Coin magic,Advanced Coin Magic,,,,,,,,,,,,,,
60,Coin magic,Munzen Magie,,,,,,,,,,,,,,
61,David Harkey,Simply Harkey,David Harkey,,Clandestine Productions,,1991,,,,,,,,,
62,David Harkey,Ah-Ha!,David Harkey,,,,,,,,,,,,,
63,David Harkey,Lecture Notes: Card-Coin Magic,David Harkey,,,,,,,,,,,,,
64,Gambling and cheating,Gambling Sleight of Hand,Steve Forte,Vols. 1-2,,,,,,,,,,"Forte's two-volume study of table work, written from inside the subject rather than about it.",,
65,Mentalism,13 Steps to Mentalism,Corinda,,Corinda's Magic Studio,,1958,,,,,,,"The standard introduction to mentalism, organised as thirteen categories of method.",,https://covers.openlibrary.org/b/id/6965150-L.jpg
66,Mentalism,Practical Mental Magic,Theodore Annemann,,Independently Published,,1983,,,,,,9781306365048,,,https://covers.openlibrary.org/b/id/309806-L.jpg
67,Mentalism,"Mind, Myth & Magick",T.A. Waters,,,,,,,,,,,,,
68,Mentalism,The Mental Magic of Larry Becker,Larry Becker,,,,,,,,,,,,,
69,Mentalism,Stunners!,Larry Becker,,,,,,,,,,,,,
70,Other magic,Magicana,Charlie Miller,,,,,,,,,,,Collected from Miller's long-running Genii column.,,
71,Other magic,Magician's Magic,Paul Curry,,F. Watts,,1965,,,,,,9780486146713,,,https://covers.openlibrary.org/b/id/313957-L.jpg
72,Other magic,The James File,Allan Slaight,Vols. 1-2 plus Index,,,,,,,,,,"Slaight's enormous record of Stewart James, a man who invented far more than he ever performed.",,
73,Reference sets and periodicals,Tarbell Course in Magic,Harlan Tarbell,Vols. 1-8,Independently Published,,2022,,,,,,9798801468730,"Originally a correspondence course, later the eight-volume set that functioned as the general reference for most of the twentieth century.",,
74,Reference sets and periodicals,Apocalypse,Harry Lorayne,bound volumes,,,,,,,,,,"Lorayne's monthly, bound into volumes.",,
75,Reference sets and periodicals,The Jinx,Theodore Annemann,bound volumes,,,,,,,,,,"Annemann's magazine, and the source of a large share of the mentalism that followed it.",,
76,Reference sets and periodicals,M.I.N.T.,,Vols. I-II,L & L,,1988,,,,,,,,,
77,Reference sets and periodicals,Volkmann,,two-volume set,Kölner Universitätsverlag,,1997,,,,,,9783874270700,,,
78,Biography,Fred Kaps: Master Magician,Michel van Zeist,,,,,,,,,,,,,
79,Biography,Fred Kaps Magic Circle lecture,Fred Kaps,,,,,,,,,,,"The lecture material, transcript and audio together.",,
